countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Colin Allred,http://www.wikidata.org/entity/Q5144845,male,repcolinallred || colinallredtx,1078355119920562176 || 346964561,United States representative,Democratic Party,Democratic Party,Texas's 32nd congressional district
US,Kathleen Rice,http://www.wikidata.org/entity/Q6376887,female,repkathleenrice,2970462034,United States representative,Democratic Party,Democratic Party,New York's 4th congressional district
US,Tim Burchett,http://www.wikidata.org/entity/Q7803244,male,reptimburchett || timburchett,1028854804087492613 || 353890966,United States representative,Republican Party,Republican Party,Tennessee's 2nd congressional district
US,Sylvia Garcia,http://www.wikidata.org/entity/Q13562489,female,repsylviagarcia,1080587263132733442,United States representative,Democratic Party,Democratic Party,Texas's 29th congressional district
US,Carol Miller,http://www.wikidata.org/entity/Q16145531,female,carolmillerwv || repcarolmiller,841994444 || 1081318716573470720,United States representative,Republican Party,Republican Party,West Virginia's 3rd congressional district
US,Troy Balderson,http://www.wikidata.org/entity/Q16194422,male,repbalderson,1037341536592310272,United States representative,Republican Party,Republican Party,Ohio's 12th congressional district
US,Buddy Carter,http://www.wikidata.org/entity/Q16240994,male,repbuddycarter,2973870195,United States representative,Republican Party,Republican Party,Georgia's 1st congressional district
US,Barry Loudermilk,http://www.wikidata.org/entity/Q16731643,male,reploudermilk,2914163523,United States representative,Republican Party,Republican Party,Georgia's 11th congressional district
US,Rick W. Allen,http://www.wikidata.org/entity/Q18683976,male,reprickallen,2964287128,United States representative,Republican Party,Republican Party,Georgia's 12th congressional district
US,Dan Bishop,http://www.wikidata.org/entity/Q20090301,male,jdanbishop,1912799826,United States representative,Republican Party,Republican Party,North Carolina's 9th congressional district
US,Trent Kelly,http://www.wikidata.org/entity/Q20204915,male,reptrentkelly,3317799825,United States representative,Republican Party,Republican Party,Mississippi's 1st congressional district
