Title,twitter,Ideology,URL,URL Reconstruct,URL Redirect Reconstruct,Location,Parent,Parent URL,Parent Country
AdvoSports,advosports,Center-left,http://victoriaadvocate.com/advosports,victoriaadvocate,victoriaadvocate,"Victoria, TX",Victoria Advocate,https://www.victoriaadvocate.com/,United States
The Virginia Mercury,mercuryvirginia,Center-left,http://www.virginiamercury.com,virginiamercury,virginiamercury,"Richmond, VA",Virginia Mercury,https://www.virginiamercury.com,United States
Ned Oliver,nedoliver,Center-left,http://virginiamercury.com,virginiamercury,virginiamercury,"Richmond, Va.",Virginia Mercury,https://www.virginiamercury.com,United States
Voice of San Diego,voiceofsandiego,Center-left,http://voiceofsandiego.org,voiceofsandiego.org,voiceofsandiego.org,San Diego,Voice of San Diego,https://www.voiceofsandiego.org/,United States
Vulture,vulture,Center-left,http://vulture.com,vulture,vulture,"New York, NY",Vulture,http://www.vulture.com,United States
WalesOnline 🏴󠁧󠁢󠁷󠁬󠁳󠁿,walesonline,Center-left,http://www.walesonline.co.uk,walesonline.co.uk,walesonline.co.uk,Wales,WalesOnline,https://www.walesonline.co.uk/,United Kingdom
Megan Nisbet,megskaten,Center-left,http://www.walesonline.co.uk/authors/megan-nisbet/,walesonline.co.uk,walesonline.co.uk,"Cardiff, Wales",WalesOnline,https://www.walesonline.co.uk/,United Kingdom
Ciaran Jones,ciaranjones1,Center-left,http://www.walesonline.co.uk,walesonline.co.uk,walesonline.co.uk,Cardiff,WalesOnline,https://www.walesonline.co.uk/,United Kingdom
Washington Blade,washblade,Center-left,http://www.washingtonblade.com,washingtonblade,washingtonblade,"Washington, D.C.",Washington Blade,http://www.washingtonblade.com/,United States
Michael Patrick Key,michaelkeywb,Center-left,http://www.washingtonblade.com,washingtonblade,washingtonblade,"Washington, D.C.",Washington Blade,http://www.washingtonblade.com/,United States
Wash Blade Live,washbladelive,Center-left,http://washingtonblade.com,washingtonblade,washingtonblade,"Washington, D.C.",Washington Blade,http://www.washingtonblade.com/,United States
Washington Blade,bladetv,Center-left,http://washingtonblade.com,washingtonblade,washingtonblade,"Washington, D.C.",Washington Blade,http://www.washingtonblade.com/,United States
Washington Monthly,monthly,Center-left,http://www.washingtonmonthly.com,washingtonmonthly,washingtonmonthly,"Washington, DC",Washington Monthly,https://washingtonmonthly.com,United States
Professor Garrett Epps,profepps,Center-left,https://washingtonmonthly.com/people/garrett-epps/,washingtonmonthly,washingtonmonthly,The Great Northwest,Washington Monthly,https://washingtonmonthly.com,United States
Alice Gallin-Dwyer,agallin,Center-left,http://www.washingtonmonthly.com,washingtonmonthly,washingtonmonthly,Maryland,Washington Monthly,https://washingtonmonthly.com,United States
The Washington Post,washingtonpost,Center-left,http://washingtonpost.com,washingtonpost,washingtonpost,"Washington, DC",Washington Post,https://www.washingtonpost.com/,United States
Capital Weather Gang,capitalweather,Center-left,https://www.washingtonpost.com/weather,washingtonpost,washingtonpost,"Washington, D.C.",Washington Post,https://www.washingtonpost.com/,United States
Post Graphics,postgraphics,Center-left,http://washingtonpost.com,washingtonpost,washingtonpost,"Washington, D.C.",Washington Post,https://www.washingtonpost.com/,United States
Washington Post PR,washpostpr,Center-left,http://www.washingtonpost.com/pr/,washingtonpost,washingtonpost,"Washington, D.C.",Washington Post,https://www.washingtonpost.com/,United States
Washington Post Photo,washpostphoto,Center-left,http://www.washingtonpost.com/photo,washingtonpost,washingtonpost,Washington D.C.,Washington Post,https://www.washingtonpost.com/,United States
Washington Post Design,wapodesign,Center-left,https://www.washingtonpost.com/graphics/2020/national/design-team-expansion-jobs/,washingtonpost,washingtonpost,"Washington, D.C.",Washington Post,https://www.washingtonpost.com/,United States
Western Mass News,wmassnews,Center-left,http://www.westernmassnews.com,westernmassnews,westernmassnews,"Springfield, MA",Western Mass News,https://www.westernmassnews.com/,United States
Chris Pisano,chrispisanowmn,Center-left,http://www.westernmassnews.com/,westernmassnews,westernmassnews,"Springfield, Mass.",Western Mass News,https://www.westernmassnews.com/,United States
Don Maher,donmaherwmn,Center-left,http://www.westernmassnews.com,westernmassnews,westernmassnews,Western Mass,Western Mass News,https://www.westernmassnews.com/,United States
First Warning Weather,wmnfirstwarning,Center-left,http://www.westernmassnews.com/weather,westernmassnews,westernmassnews,"Springfield, MA",Western Mass News,https://www.westernmassnews.com/,United States
White House COVID-19 Response Team,whcovidresponse,Center-left,http://whitehouse.gov,whitehouse.gov,whitehouse.gov,"Washington, DC",Whitehouse.gov,https://www.whitehouse.gov,United States
The White House,whitehouse,Center-left,http://whitehouse.gov,whitehouse.gov,whitehouse.gov,United States of America,Whitehouse.gov,https://www.whitehouse.gov,United States
WikiLeaks,wikileaks,Center-left,https://wikileaks.org,wikileaks.org,wikileaks.org,Everywhere,WikiLeaks,https://www.wikileaks.org/,Iceland
WikiLeaks Task Force,wltaskforce,Center-left,https://wikileaks.org/,wikileaks.org,wikileaks.org,The Internet,WikiLeaks,https://www.wikileaks.org/,Iceland
WIRED,wired,Center-left,http://www.wired.com,wired,wired,San Francisco/New York,Wired Magazine,https://www.wired.com/,United States
WIRED Science,wiredscience,Center-left,http://www.wired.com/category/wiredscience,wired,wired,"San Francisco, California",Wired Magazine,https://www.wired.com/,United States
WIRED Gadget Lab,gadgetlab,Center-left,http://www.wired.com/category/gear/,wired,wired,"San Francisco, CA",Wired Magazine,https://www.wired.com/,United States
Wired,wired_magazine,Center-left,http://www.wired.com,wired,wired,"San Francisco, California",Wired Magazine,https://www.wired.com/,United States
David Barras,dave_barras,Center-left,http://www.wishtv.com,wishtv,wishtv,"Indianapolis, IN",WISHTV,https://www.wishtv.com/,United States
WNYC 🎙,wnyc,Center-left,http://www.wnyc.org,wnyc.org,wnyc.org,New York City,WNYC,https://www.wnyc.org/,United States
All Of It With Alison Stewart,allofitwnyc,Center-left,https://www.wnyc.org/shows/all-it,wnyc.org,wnyc.org,New York City,WNYC,https://www.wnyc.org/,United States
WNYC Archives,wnycarchives,Center-left,http://www.wnyc.org/series/archives-and-preservation/,wnyc.org,wnyc.org,"New York City, NY",WNYC,https://www.wnyc.org/,United States
WNYC Events,wnycevents,Center-left,http://www.wnyc.org/events,wnyc.org,wnyc.org,"New York, NY",WNYC,https://www.wnyc.org/,United States
"Nsikan Akpan, PhD",monscience,Center-left,https://www.wnyc.org/,wnyc.org,wnyc.org,,WNYC,https://www.wnyc.org/,United States
WNYC's Fishko Files,fishkofiles,Center-left,http://www.wnyc.org/shows/fishko,wnyc.org,wnyc.org,"New York, NY",WNYC,https://www.wnyc.org/,United States
Tracie Hunte,traciehunte,Center-left,http://www.wnyc.org,wnyc.org,wnyc.org,"Brooklyn, NY",WNYC,https://www.wnyc.org/,United States
Arun Venugopal,arunnyc,Center-left,http://www.wnyc.org,wnyc.org,wnyc.org,"New York, NY",WNYC,https://www.wnyc.org/,United States
Jennifer Vanasco,jennifervanasco,Center-left,http://www.wnyc.org,wnyc.org,wnyc.org,New York City,WNYC,https://www.wnyc.org/,United States
The Wilson Center,thewilsoncenter,Center-left,http://www.wilsoncenter.org/,wilsoncenter.org,wilsoncenter.org,"Washington, D.C.",Woodrow Wilson International Center for Scholars,https://www.wilsoncenter.org/,United States
Cindy Arnson,cindyarnson,Center-left,https://www.wilsoncenter.org/program/latin-american-program,wilsoncenter.org,wilsoncenter.org,"Washington, DC",Woodrow Wilson International Center for Scholars,https://www.wilsoncenter.org/,United States
Worldcrunch,worldcrunch,Center-left,http://worldcrunch.com,worldcrunch,worldcrunch,"Paris, France",WorldCrunch,https://www.worldcrunch.com/,France
Jeff Israely,jeffisraely,Center-left,http://worldcrunch.com,worldcrunch,worldcrunch,paris,WorldCrunch,https://www.worldcrunch.com/,France
World Economic Forum,wef,Center-left,https://www.weforum.org/,weforum.org,weforum.org,"Geneva, Switzerland",World Economic Forum,https://www.weforum.org/,Switzerland
Børge Brende,borgebrende,Center-left,https://www.weforum.org/,weforum.org,weforum.org,"Geneva, Switzerland",World Economic Forum,https://www.weforum.org/,Switzerland
World Resources Inst,worldresources,Center-left,http://www.wri.org,wri.org,wri.org,AFR BRA CHN EUR IND IDN MEX USA,World Resources Institute (WRI),https://www.wri.org/,United States
Kevin Powers,kvn,Center-left,http://wri.org/profile/kevin-powers,wri.org,wri.org,"Washington, DC",World Resources Institute (WRI),https://www.wri.org/,United States
Adriana Lobo,adrianalobowri,Center-left,http://www.wri.org,wri.org,wri.org,México,World Resources Institute (WRI),https://www.wri.org/,United States
Lin Hao@KL,linhao_kl,Center-left,http://www.news.cn/english/,news.cn,news.cn,Kuala Lumpur Malaysia,Xinhua News Agency,http://www.news.cn/english/ ,China
Yahoo News,yahoonews,Center-left,https://news.yahoo.com,yahoo.news,yahoo.news,New York City,Yahoo News,https://news.yahoo.com/,United States
Ynetnews,ynetnews,Center-left,http://www.ynetnews.com,ynetnews,ynetnews,"Rishon Lezion, Israel",YnetNews,http://www.ynetnews.com/,Israel
ynetnews.com,ynetnewscom,Center-left,http://ynetnews.com,ynetnews,ynetnews,Israel,YnetNews,http://www.ynetnews.com/,Israel
YDR online,ydrcom,Center-left,http://www.ydr.com,ydr,ydr,"York, Pa.",York Daily Record,https://www.ydr.com/,United States
York Dispatch,yorkdispatch,Center-left,http://www.yorkdispatch.com,yorkdispatch,yorkdispatch,"York, Pa.",York Dispatch,https://www.yorkdispatch.com,United States
Brandon Addeo,brandonaddeo,Center-left,https://www.yorkdispatch.com/,yorkdispatch,yorkdispatch,"York, PA",York Dispatch,https://www.yorkdispatch.com,United States
Dispatch Schools,ydschools,Center-left,http://yorkdispatch.com/school,yorkdispatch,yorkdispatch,"York, PA",York Dispatch,https://www.yorkdispatch.com,United States
9NEWS Denver,9news,Center,http://www.9news.com,9news,9news,"Denver, Colorado",9News KUSA,https://www.9news.com/,United States
9NEWS Sports Denver,9newssports,Center,http://www.9news.com,9news,9news,N 39°34' 0'' / W 105°10' 0'',9News KUSA,https://www.9news.com/,United States
Tom,thetomcole,Center,http://9news.com,9news,9news,Denver,9News KUSA,https://www.9news.com/,United States
KKCO 11 News,kkco11news,Center,http://www.nbc11news.com,nbc11news,nbc11news,"Grand Junction, CO",11 News – KKCO,https://www.nbc11news.com/,United States
12 News,12news,Center,http://12news.com/,12news,12news,"Arizona, USA",12 News (KPNX),https://www.12news.com/,United States
George Davilas,davilas12news,Center,http://12news.com,12news,12news,"Arizona, USA",12 News (KPNX),https://www.12news.com/,United States
Michael J Brannock,mbrannock12news,Center,http://www.12news.com,12news,12news,"Phoenix, AZ",12 News (KPNX),https://www.12news.com/,United States
RalphHipp,ralphhipp,Center,http://www.wibw.com,wibw,wibw,"Topeka, KS",13 News – WIBW,https://www.wibw.com/,United States
Deneysha Richard,wibwdeneysha,Center,http://www.wibw.com/,wibw,wibw,"Topeka, KS",13 News – WIBW,https://www.wibw.com/,United States
24/7 Wall St.,247wallst,Center,http://www.247wallst.com,247wallst,247wallst,"New York, NY",24/7 Wall St,https://247wallst.com/,United States
Paul Ausick,pausick,Center,http://www.247wallst.com,247wallst,247wallst,New York,24/7 Wall St,https://247wallst.com/,United States
24ur.com,24ur_com,Center,https://www.24ur.com,24ur,24ur,Republic of Slovenia,24ur.com,https://www.24ur.com/,Slovenia
Alenka Marovt,alenkamarovt,Center,https://www.24ur.com/novice/dejstva,24ur,24ur,"Ljubljana, Slovenija",24ur.com,https://www.24ur.com/,Slovenia
38 North,38northnk,Center,http://38north.org/,38north.org,38north.org,"Washington, DC",38 North,https://www.38north.org,United States
680 NEWS Traffic,680newstraffic,Center,http://680news.com/traffic,680news,680news,"Toronto, Canada",680 News,https://www.680news.com/,Canada
680 NEWS Toronto,680news,Center,http://www.680news.com,680news,680news,Toronto,680 News,https://www.680news.com/,Canada
Charlene Close,close680news,Center,http://www.680news.com,680news,680news,Toronto,680 News,https://www.680news.com/,Canada
Jaime Pulfer,pulfer680news,Center,http://www.680news.com,680news,680news,Toronto,680 News,https://www.680news.com/,Canada
Paul Cook,cook680news,Center,http://680news.com,680news,680news,"Toronto, Ontario Canada",680 News,https://www.680news.com/,Canada
ABC12WJRT,abc12wjrt,Center,http://www.abc12.com,abc12,abc12,Mid-Michigan,ABC12 News (WJRT),https://www.abc12.com/,United States
ABS-CBN News,abscbnnews,Center,http://news.abs-cbn.com,abs-cbn.news,abs-cbn.news,"Manila, Philippines",ABSCBN News,https://news.abs-cbn.com/,Philippines
ABS-CBN News Sports,abscbnnewssport,Center,http://news.abs-cbn.com/sports,abs-cbn.news,abs-cbn.news,"Manila, Philippines",ABSCBN News,https://news.abs-cbn.com/,Philippines
ABS-CBN Lifestyle,abscbnnewslife,Center,http://news.abs-cbn.com/lifestyle,abs-cbn.news,abs-cbn.news,"Manila, Philippines",ABSCBN News,https://news.abs-cbn.com/,Philippines
ABS-CBN News Business,abscbnnewsbiz,Center,http://news.abs-cbn.com/business,abs-cbn.news,abs-cbn.news,"Manila, Philippines",ABSCBN News,https://news.abs-cbn.com/,Philippines
ABS-CBN News Showbiz,abscbn_showbiz,Center,http://news.abs-cbn.com/entertainment,abs-cbn.news,abs-cbn.news,"Manila, Philippines",ABSCBN News,https://news.abs-cbn.com/,Philippines
Robert Grant,robertanjax,Center,http://actionnewsjax.com,actionnewsjax,actionnewsjax,"Jacksonville, FL",ActionNewsJax.com,https://www.actionnewsjax.com/,United States
Ad Fontes Media,adfontesmedia,Center,http://adfontesmedia.com,adfontesmedia,adfontesmedia,"Westminster, CO",Ad Fontes Media,https://www.adfontesmedia.com/,United States
Adweek,adweek,Center,http://adweek.com/,adweek,adweek,New York City,Adweek,https://www.adweek.com/,United States
Adweek Branded,awbrandshare,Center,http://www.adweek.com/brandshare,adweek,adweek,NYC,Adweek,https://www.adweek.com/,United States
Adweek Webinars,awwebinars,Center,http://www.adweek.com/webinars,adweek,adweek,,Adweek,https://www.adweek.com/,United States
Africa Check,africacheck,Center,https://africacheck.org,africacheck.org,africacheck.org,,Africa Check,https://africacheck.org,South Africa
AfricaCheck_NG,africacheck_ng,Center,https://africacheck.org/,africacheck.org,africacheck.org,Nigeria,Africa Check,https://africacheck.org,South Africa
Africa Check_Fr,africacheck_fr,Center,https://africacheck.org/fr,africacheck.org,africacheck.org,Senegal,Africa Check,https://africacheck.org,South Africa
AGDAILY,agdailymedia,Center,http://agdaily.com,agdaily,agdaily,"Bingham Farms, MI",AgDaily,https://www.agdaily.com/,United States
AFP News Agency,afp,Center,http://www.afp.com/en,afp,afp,France,AFP (Agence France Presse),https://www.afp.com/en/home,France
Natsuko Fukue,natfukue,Center,http://www.afp.com/,afp,afp,Tokyo,AFP (Agence France Presse),https://www.afp.com/en/home,France
Celine Clery,celineclery,Center,http://www.afp.com,afp,afp,"Nairobi, Kenya",AFP (Agence France Presse),https://www.afp.com/en/home,France
Laurent Thomet,lthometafp,Center,http://www.afp.com,afp,afp,Paris,AFP (Agence France Presse),https://www.afp.com/en/home,France
Sebastian Smith,sebastianafp,Center,http://www.afp.com,afp,afp,"Washington, DC",AFP (Agence France Presse),https://www.afp.com/en/home,France
Daniel Silva,danielsilvaafp,Center,http://afp.com,afp,afp,Madrid,AFP (Agence France Presse),https://www.afp.com/en/home,France
Deborah Cole,doberah,Center,http://www.afp.com,afp,afp,Berlin,AFP (Agence France Presse),https://www.afp.com/en/home,France
Emma Charlton,emmacharltonafp,Center,http://www.afp.com,afp,afp,Paris,AFP (Agence France Presse),https://www.afp.com/en/home,France
Jennie Matthew,jenniematthew,Center,http://www.afp.com,afp,afp,Paris,AFP (Agence France Presse),https://www.afp.com/en/home,France
Alberto Pizzoli,albertopizzoli,Center,http://afp.com,afp,afp,around in a small world,AFP (Agence France Presse),https://www.afp.com/en/home,France
Agenzia ANSA,agenzia_ansa,Center,http://www.ansa.it,ansa.it,ansa.it,"Via della Dataria, 94 - Roma",Agenzia Nazionale Stampa Associata (ANSA),http://www.ansa.it,Italy
AGERPRES,agerpres,Center,http://www.agerpres.ro,agerpres.ro,agerpres.ro,"Bucharest, Romania",Agerpres,https://www.agerpres.ro/english,Romania
AGERPRES (EN),agerpres_en,Center,http://www.agerpres.ro/english,agerpres.ro,agerpres.ro,Bucharest,Agerpres,https://www.agerpres.ro/english,Romania
Agerpres Sport,agerpres_sport,Center,http://www.agerpres.ro/sport,agerpres.ro,agerpres.ro,Bucuresti,Agerpres,https://www.agerpres.ro/english,Romania
Agerpres_ext,agerpresextern,Center,http://www.agerpres.ro/,agerpres.ro,agerpres.ro,"Bucharest, Romania",Agerpres,https://www.agerpres.ro/english,Romania
AgWeb Editors,agwebeditor,Center,http://www.agweb.com,agweb,agweb,Missouri,AgWeb,https://www.agweb.com/,United States
Alison Rice,agweb_alison,Center,http://www.agweb.com,agweb,agweb,"Arlington, Va.",AgWeb,https://www.agweb.com/,United States
AgWeb Ops,agweb_ops,Center,http://www.agweb.com,agweb,agweb,"Rosemont, Illinois",AgWeb,https://www.agweb.com/,United States
Air Force Times,airforcetimes,Center,http://airforcetimes.com,airforcetimes,airforcetimes,,Air Force Times,https://www.airforcetimes.com/,United States
Richard Sandza,rwsandza,Center,http://www.airforcetimes.com,airforcetimes,airforcetimes,"Washington, DC",Air Force Times,https://www.airforcetimes.com/,United States
Airwars,airwars,Center,http://airwars.org,airwars.org,airwars.org,London,Airwars,https://airwars.org/,Unknown
Alabama Political Reporter,alreporter,Center,http://alreporter.com,alreporter,alreporter,Alabama,Alabama Political Reporter,https://www.alreporter.com/,United States
Josh Moon 🇺🇸,josh_moon,Center,http://www.alreporter.com,alreporter,alreporter,"Alabama, USA",Alabama Political Reporter,https://www.alreporter.com/,United States
AL Today,alabamatoday,Center,http://altoday.com,altoday,altoday,Alabama,Alabama Today,https://altoday.com/,Unknown
Democrat-Herald,dhnews,Center,http://www.democratherald.com,democratherald,democratherald,Albany,Albany Democrat Herald,https://democratherald.com/,United States
allAfrica.com,allafrica,Center,http://allafrica.com,allafrica,allafrica,Africa,AllAfrica,https://allafrica.com,South Africa
AllAfrica Sport,allafricasport,Center,http://allafrica.com/sport,allafrica,allafrica,,AllAfrica,https://allafrica.com,South Africa
Tami Hultman,tamihultman,Center,http://allafrica.com,allafrica,allafrica,Africa | DC | NC,AllAfrica,https://allafrica.com,South Africa
Reed Kramer,reedkramer,Center,http://allafrica.com,allafrica,allafrica,Africa | DC | NC,AllAfrica,https://allafrica.com,South Africa
Alliance for Securing Democracy,securedemocracy,Center,https://securingdemocracy.gmfus.org/,gmfus.securingdemocracy.org,gmfus.securingdemocracy.org,,Alliance for Securing Democracy,https://securingdemocracy.gmfus.org/,Unknown
Joshua Kirschenbaum,joshkirschgmf,Center,https://securingdemocracy.gmfus.org/author/joshua-kirschen,gmfus.securingdemocracy.org,gmfus.securingdemocracy.org,,Alliance for Securing Democracy,https://securingdemocracy.gmfus.org/,Unknown
American Heritage Magazine,ameriheritage,Center,http://www.americanheritage.com,americanheritage,americanheritage,"Rockville, MD",American Heritage,https://www.americanheritage.com,United States
American Military News,amermilnews,Center,http://www.americanmilitarynews.com,americanmilitarynews,americanmilitarynews,USA,American Military News,https://americanmilitarynews.com,United States
Kellen Giuda,kellengiuda,Center,http://www.americanmilitarynews.com,americanmilitarynews,americanmilitarynews,"Washington, DC",American Military News,https://americanmilitarynews.com,United States
AmoMama USA,amomama_usa,Center,https://news.amomama.com,amomama.news,amomama.news,"New York, USA",AmoMama,https://news.amomama.com/,Cyprus
